multiplier,TP,FP,TN,FN,precision,recall,f1_score
2.0,300,4035,82065,0,0.06920415224913495,1.0,0.12944983818770228
2.05,300,3797,82303,0,0.0732243104710764,1.0,0.1364566750056857
2.1,300,3594,82506,0,0.07704160246533127,1.0,0.14306151645207438
2.15,300,3394,82706,0,0.08121277747698971,1.0,0.15022533800701052
2.2,300,3200,82900,0,0.08571428571428572,1.0,0.15789473684210528
2.25,300,3008,83092,0,0.09068923821039904,1.0,0.16629711751662973
2.3,300,2854,83246,0,0.09511731135066583,1.0,0.17371163867979156
2.35,300,2687,83413,0,0.1004352192835621,1.0,0.18253726802555523
2.4,300,2523,83577,0,0.10626992561105207,1.0,0.19212295869356388
2.45,300,2360,83740,0,0.11278195488721804,1.0,0.20270270270270271
2.5,300,2252,83848,0,0.11755485893416928,1.0,0.21037868162692847
2.55,300,2128,83972,0,0.12355848434925865,1.0,0.21994134897360706
2.6,300,2022,84078,0,0.12919896640826872,1.0,0.22883295194508008
2.65,300,1906,84194,0,0.1359927470534905,1.0,0.23942537909018358
2.7,300,1796,84304,0,0.1431297709923664,1.0,0.2504173622704507
2.75,300,1679,84421,0,0.15159171298635674,1.0,0.26327336551118913
2.8,300,1576,84524,0,0.15991471215351813,1.0,0.2757352941176471
2.85,300,1477,84623,0,0.16882386043894204,1.0,0.2888781896966779
2.9,300,1387,84713,0,0.17783046828689983,1.0,0.3019627579265224
2.95,300,1297,84803,0,0.18785222291797118,1.0,0.31628887717448606
3.0,300,1229,84871,0,0.1962066710268149,1.0,0.3280481137233461
3.05,300,1154,84946,0,0.2063273727647868,1.0,0.34207525655644244
3.1,300,1084,85016,0,0.21676300578034682,1.0,0.3562945368171021
3.15,300,1021,85079,0,0.22710068130204392,1.0,0.3701418877236274
3.2,300,954,85146,0,0.23923444976076555,1.0,0.3861003861003861
3.25,300,889,85211,0,0.2523128679562658,1.0,0.40295500335795836
3.3,300,845,85255,0,0.26200873362445415,1.0,0.4152249134948097
3.35,300,792,85308,0,0.27472527472527475,1.0,0.4310344827586208
3.4,300,748,85352,0,0.2862595419847328,1.0,0.4451038575667655
3.45,300,699,85401,0,0.3003003003003003,1.0,0.4618937644341802
3.5,300,652,85448,0,0.31512605042016806,1.0,0.4792332268370607
3.55,300,621,85479,0,0.3257328990228013,1.0,0.4914004914004914
3.6,300,597,85503,0,0.33444816053511706,1.0,0.5012531328320802
3.65,300,564,85536,0,0.3472222222222222,1.0,0.5154639175257731
3.7,300,540,85560,0,0.35714285714285715,1.0,0.5263157894736842
3.75,300,509,85591,0,0.37082818294190356,1.0,0.5410279531109107
3.8,300,479,85621,0,0.3851091142490372,1.0,0.5560704355885079
3.85,300,442,85658,0,0.40431266846361186,1.0,0.5758157389635317
3.9,300,415,85685,0,0.4195804195804196,1.0,0.5911330049261084
3.95,300,388,85712,0,0.436046511627907,1.0,0.6072874493927126
4.0,300,373,85727,0,0.4457652303120357,1.0,0.6166495375128469
4.05,300,347,85753,0,0.46367851622874806,1.0,0.6335797254487856
4.1,300,324,85776,0,0.4807692307692308,1.0,0.6493506493506493
4.15,300,304,85796,0,0.4966887417218543,1.0,0.663716814159292
4.2,300,284,85816,0,0.5136986301369864,1.0,0.6787330316742082
4.25,300,270,85830,0,0.5263157894736842,1.0,0.6896551724137931
4.3,300,253,85847,0,0.5424954792043399,1.0,0.7033997655334114
4.35,300,238,85862,0,0.5576208178438662,1.0,0.7159904534606205
4.4,300,225,85875,0,0.5714285714285714,1.0,0.7272727272727273
4.45,299,202,85898,1,0.5968063872255489,0.9966666666666667,0.7465667915106118
4.5,299,191,85909,1,0.610204081632653,0.9966666666666667,0.7569620253164557
4.55,299,183,85917,1,0.6203319502074689,0.9966666666666667,0.7647058823529412
4.6,299,177,85923,1,0.6281512605042017,0.9966666666666667,0.770618556701031
4.65,299,165,85935,1,0.6443965517241379,0.9966666666666667,0.7827225130890052
4.7,299,158,85942,1,0.6542669584245077,0.9966666666666667,0.7899603698811097
4.75,299,145,85955,1,0.6734234234234234,0.9966666666666667,0.8037634408602151
4.8,299,132,85968,1,0.6937354988399071,0.9966666666666667,0.8180574555403556
4.85,299,126,85974,1,0.7035294117647058,0.9966666666666667,0.8248275862068966
4.9,299,120,85980,1,0.7136038186157518,0.9966666666666667,0.8317107093184979
4.95,299,114,85986,1,0.7239709443099274,0.9966666666666667,0.8387096774193548
5.0,299,109,85991,1,0.7328431372549019,0.9966666666666667,0.844632768361582
5.05,299,101,85999,1,0.7475,0.9966666666666667,0.8542857142857143
5.1,299,94,86006,1,0.7608142493638677,0.9966666666666667,0.862914862914863
5.15,298,91,86009,2,0.7660668380462725,0.9933333333333333,0.865021770682148
5.2,298,83,86017,2,0.7821522309711286,0.9933333333333333,0.8751835535976504
5.25,298,79,86021,2,0.7904509283819628,0.9933333333333333,0.880354505169867
5.3,297,73,86027,3,0.8027027027027027,0.99,0.8865671641791044
5.35,297,69,86031,3,0.8114754098360656,0.99,0.8918918918918919
5.4,297,60,86040,3,0.8319327731092437,0.99,0.904109589041096
5.45,297,57,86043,3,0.8389830508474576,0.99,0.9082568807339448
5.5,297,54,86046,3,0.8461538461538461,0.99,0.912442396313364
5.55,294,51,86049,6,0.8521739130434782,0.98,0.9116279069767441
5.6,294,51,86049,6,0.8521739130434782,0.98,0.9116279069767441
5.65,294,43,86057,6,0.8724035608308606,0.98,0.9230769230769231
5.7,293,39,86061,7,0.8825301204819277,0.9766666666666667,0.9272151898734177
5.75,292,34,86066,8,0.8957055214723927,0.9733333333333334,0.9329073482428116
5.8,292,30,86070,8,0.906832298136646,0.9733333333333334,0.9389067524115757
5.85,289,28,86072,11,0.9116719242902208,0.9633333333333334,0.9367909238249594
5.9,287,27,86073,13,0.9140127388535032,0.9566666666666667,0.9348534201954397
5.95,287,25,86075,13,0.9198717948717948,0.9566666666666667,0.9379084967320261
6.0,283,24,86076,17,0.9218241042345277,0.9433333333333334,0.9324546952224052
6.05,280,19,86081,20,0.9364548494983278,0.9333333333333333,0.9348914858096828
6.1,276,18,86082,24,0.9387755102040817,0.92,0.9292929292929293
6.15,276,16,86084,24,0.9452054794520548,0.92,0.9324324324324323
6.2,273,16,86084,27,0.9446366782006921,0.91,0.9269949066213922
6.25,270,15,86085,30,0.9473684210526315,0.9,0.9230769230769231
6.3,268,14,86086,32,0.950354609929078,0.8933333333333333,0.9209621993127147
6.35,259,13,86087,41,0.9522058823529411,0.8633333333333333,0.9055944055944056
6.4,253,13,86087,47,0.9511278195488722,0.8433333333333334,0.8939929328621907
6.45,248,12,86088,52,0.9538461538461539,0.8266666666666667,0.8857142857142857
6.5,242,11,86089,58,0.9565217391304348,0.8066666666666666,0.8752260397830018
6.55,238,10,86090,62,0.9596774193548387,0.7933333333333333,0.8686131386861314
6.6,234,8,86092,66,0.9669421487603306,0.78,0.8634686346863469
6.65,223,7,86093,77,0.9695652173913043,0.7433333333333333,0.8415094339622642
6.7,213,6,86094,87,0.9726027397260274,0.71,0.8208092485549133
6.75,202,6,86094,98,0.9711538461538461,0.6733333333333333,0.7952755905511811
6.8,195,6,86094,105,0.9701492537313433,0.65,0.778443113772455
6.85,185,6,86094,115,0.9685863874345549,0.6166666666666667,0.7535641547861508
6.9,181,5,86095,119,0.9731182795698925,0.6033333333333334,0.7448559670781894
6.95,169,5,86095,131,0.9712643678160919,0.5633333333333334,0.7130801687763713
7.0,159,5,86095,141,0.9695121951219512,0.53,0.6853448275862069
7.05,154,4,86096,146,0.9746835443037974,0.5133333333333333,0.6724890829694323
7.1,145,4,86096,155,0.9731543624161074,0.48333333333333334,0.6458797327394209
7.15,134,4,86096,166,0.9710144927536232,0.44666666666666666,0.6118721461187215
7.2,126,4,86096,174,0.9692307692307692,0.42,0.5860465116279069
7.25,120,4,86096,180,0.967741935483871,0.4,0.5660377358490567
7.3,110,4,86096,190,0.9649122807017544,0.36666666666666664,0.5314009661835748
7.35,100,4,86096,200,0.9615384615384616,0.3333333333333333,0.495049504950495
7.4,94,4,86096,206,0.9591836734693877,0.31333333333333335,0.4723618090452261
7.45,88,3,86097,212,0.967032967032967,0.29333333333333333,0.4501278772378517
7.5,79,2,86098,221,0.9753086419753086,0.2633333333333333,0.4146981627296587
7.55,70,2,86098,230,0.9722222222222222,0.23333333333333334,0.37634408602150543
7.6,64,2,86098,236,0.9696969696969697,0.21333333333333335,0.34972677595628415
7.65,58,2,86098,242,0.9666666666666667,0.19333333333333333,0.32222222222222224
7.7,51,2,86098,249,0.9622641509433962,0.17,0.2889518413597734
7.75,48,2,86098,252,0.96,0.16,0.2742857142857143
7.8,42,2,86098,258,0.9545454545454546,0.14,0.24418604651162792
7.85,36,2,86098,264,0.9473684210526315,0.12,0.21301775147928992
7.9,32,2,86098,268,0.9411764705882353,0.10666666666666667,0.19161676646706588
7.95,31,2,86098,269,0.9393939393939394,0.10333333333333333,0.18618618618618618
8.0,26,2,86098,274,0.9285714285714286,0.08666666666666667,0.15853658536585366
8.05,23,2,86098,277,0.92,0.07666666666666666,0.14153846153846153
8.1,21,2,86098,279,0.9130434782608695,0.07,0.130030959752322
8.15,18,2,86098,282,0.9,0.06,0.1125
8.2,15,2,86098,285,0.8823529411764706,0.05,0.09463722397476342
8.25,13,1,86099,287,0.9285714285714286,0.043333333333333335,0.08280254777070063
8.3,9,1,86099,291,0.9,0.03,0.058064516129032254
8.35,8,0,86100,292,1.0,0.02666666666666667,0.05194805194805195
8.4,5,0,86100,295,1.0,0.016666666666666666,0.03278688524590164
8.45,5,0,86100,295,1.0,0.016666666666666666,0.03278688524590164
8.5,4,0,86100,296,1.0,0.013333333333333334,0.02631578947368421
8.55,4,0,86100,296,1.0,0.013333333333333334,0.02631578947368421
8.6,4,0,86100,296,1.0,0.013333333333333334,0.02631578947368421
8.65,4,0,86100,296,1.0,0.013333333333333334,0.02631578947368421
8.7,2,0,86100,298,1.0,0.006666666666666667,0.013245033112582783
8.75,2,0,86100,298,1.0,0.006666666666666667,0.013245033112582783
8.8,2,0,86100,298,1.0,0.006666666666666667,0.013245033112582783
8.85,2,0,86100,298,1.0,0.006666666666666667,0.013245033112582783
8.9,1,0,86100,299,1.0,0.0033333333333333335,0.006644518272425249
